# Data printout from CCMC-simulation: version PD4D-1.3
# Data type:  TIE-GCM  ionosphere
# Run name:   Nick_Gross_071624_IT_1
# Missing data:          NaN
# Coordinate System: GEO
# Satellite Track: gracefo1_512972009515
# Output data: field with 1x7181=7181 elements
# Year Month Day Hour Min Sec    Lon    Lat    H            T_n        Vn_Lon        Vn_Lat        WN        rho(O2)        rho(O)        N2        rho(NO)        rho(N4S)        HE        N_e        T_e        T_i        TEC        N(O2+)        N(O+)        PHI        Vi_Lon        Vi_Lat        Vi_IP        DEN        QJOULE        HMF2        NMF2        Z        ZG        SIGMA_PED        SIGMA_HAL        NO_COOL        T_lbc        Vlbc_Lon        Vlbc_Lat        TN_lbc        VN,lbc_Lon        VN,lbc_Lat        NmF2        HmF2        
#  [year]  [month]  [day]  [h]  [m]  [s]  [deg]  [deg]  [km]  [K]  [m/s]  [m/s]  [m/s]  [mmr]  [mmr]  [mmr]  [mmr]  [mmr]  [mmr]  [cm-3]  [K]  [K]  [TECU]  [cm-3]  [cm-3]  [V]  [m/s]  [m/s]  [m/s]  [kg/m3]  [mW/kg]  [km]  [cm-3]  [km]  [km]  [S/m]  [S/m]  [mW/kg]  [K]  [m/s]  [m/s]  [K]  [m/s]  [m/s]  [cm-3]  [km]
2024  05  09  00  53   0.000     -115.28     -38.150      477.57      1340.8      56.211     -18.396      2.8347   0.0012987     0.91604    0.082661  2.3927E-05    0.016859      0.0000  1.6019E+06      1361.6      1354.9      71.600      10.281  1.4996E+06     -593.22      16.037      7.7104     -10.980  2.5151E-12      6789.6      365.79  2.5759E+06      489.21      477.57  3.3236E-06  1.6291E-09      7.7328      177.61     -42.232     -14.764      177.62     -42.241     -14.745  2.5177E+06      354.51
2024  05  09  00  54   0.000     -115.41     -41.970      477.85      1327.5      64.344     -23.537      2.7000   0.0012210     0.92163    0.077153  2.1831E-05    0.016143      0.0000  1.4726E+06      1363.5      1351.2      67.468      9.2857  1.3746E+06     -332.54      18.609      9.3807     -12.061  2.4194E-12      8545.7      360.54  2.4844E+06      489.63      477.86  2.6805E-06  1.2057E-09      6.6792      176.33     -36.571     -20.822      176.33     -36.584     -20.803  2.4028E+06      352.35
2024  05  09  00  55   0.000     -115.53     -45.790      478.14      1311.2      70.178     -29.229      2.4888   0.0011352     0.92767    0.071194  1.9599E-05    0.015349      0.0000  1.3654E+06      1365.9      1346.3      64.060      8.1664  1.2707E+06     -19.325      19.216      11.089     -12.461  2.3115E-12      10358.      356.40  2.4259E+06      490.06      478.13  2.1654E-06  8.8420E-10      5.6020      175.85     -30.753     -27.130      175.85     -30.770     -27.110  2.3183E+06      349.50
2024  05  09  00  56   0.000     -115.63     -49.610      478.44      1291.4      73.004     -35.018      2.1507   0.0010460     0.93400    0.064956  1.7308E-05    0.014472      0.0000  1.2719E+06      1369.8      1341.0      61.152      7.1040  1.1806E+06      314.56      17.357      13.069     -12.166  2.2048E-12      12140.      352.86  2.3815E+06      490.50      478.44  1.7656E-06  6.6213E-10      4.6152      176.15     -25.074     -32.385      176.16     -25.094     -32.365  2.2542E+06      344.55
2024  05  09  00  57   0.000     -115.70     -53.430      478.75      1268.6      72.821     -40.634      1.6673  0.00094997     0.94072    0.058337  1.4954E-05    0.013496      0.0000  1.1832E+06      1376.1      1335.7      58.436      6.0144  1.0959E+06      637.16      13.277      15.408     -11.258  2.0877E-12      13742.      349.30  2.3352E+06      490.94      478.75  1.4318E-06  4.9202E-10      3.6780      176.85     -19.343     -36.204      176.85     -19.365     -36.186  2.1944E+06      339.27
2024  05  09  00  58   0.000     -115.74     -57.250      479.07      1242.8      68.522     -46.577      1.0215  0.00084022     0.94816    0.050995  1.2484E-05    0.012377      0.0000  1.0958E+06      1386.3      1331.3      55.759      4.8064  1.0129E+06      865.54      6.0454      18.256     -9.4534  1.9508E-12      15264.      345.36  2.2804E+06      491.40      479.08  1.1393E-06  3.4914E-10      2.7567      177.69     -13.971     -37.680      177.69     -13.995     -37.663  2.1286E+06      336.28
2024  05  09  00  59   0.000     -115.73     -61.070      479.41      1214.5      59.537     -51.974     0.17732  0.00072735     0.95609    0.043185  1.0057E-05    0.011048      0.0000  9.9305E+05      1415.0      1334.6      52.431      3.7459  9.1632E+05      968.12     -4.2710      21.603     -6.7299  1.8212E-12      16051.      341.23  2.1985E+06      491.86      479.41  8.9379E-07  2.4607E-10      1.9863      178.55     -9.4946     -37.130      178.55     -9.5172     -37.116  2.0391E+06      324.28
2024  05  09  01  00   0.000     -115.65     -64.880      479.77      1185.3      43.433     -54.552    -0.40310  0.00064990     0.96294    0.036413  8.4071E-06   0.0093618      0.0000  8.4890E+05      1482.3      1351.0      46.940      3.0411  7.8266E+05      803.36     -19.342      25.573     -2.5393  1.6941E-12      14943.      338.61  2.0208E+06      492.33      479.77  6.6825E-07  1.6770E-10      1.4805      179.24     -4.2093     -34.201      179.24     -4.2307     -34.190  1.8664E+06      320.63
2024  05  09  01  01   0.000     -115.46     -68.700      480.14      1157.3      28.527     -62.510    -0.27052  0.00058926     0.96845    0.030960  7.1568E-06   0.0075798      0.0000  6.7192E+05      1597.5      1374.0      38.964      2.5050  6.2207E+05      273.13     -37.686      30.740      2.5574  1.5770E-12      15091.      337.46  1.6958E+06      492.81      480.14  4.6447E-07  1.0414E-10      1.1086      180.03    -0.72238     -29.869      180.03    -0.74130     -29.862  1.5752E+06      319.21
2024  05  09  01  02   0.000     -115.08     -72.510      480.53      1129.6      19.807     -66.910     -1.1497  0.00050452     0.97433    0.025168  5.5627E-06   0.0057451      0.0000  4.5858E+05      1977.4      1417.6      28.908      2.1315  4.2937E+05     -674.58     -48.411      36.599      5.7398  1.4891E-12      12326.      333.95  1.2784E+06      493.28      480.53  2.9159E-07  6.1075E-11     0.77741      180.57      3.1790     -24.256      180.57      3.1627     -24.252  1.2190E+06      318.04
2024  05  09  01  03   0.000     -114.37     -76.320      480.94      1101.9      14.751     -60.492     -1.5018  0.00041666     0.97979    0.019795  4.1812E-06   0.0039762      0.0000  3.6876E+05      2134.8      1395.0      23.357      1.4605  3.4898E+05     -1745.2     -45.543      42.032      5.4230  1.4137E-12      9195.1      331.26  1.0024E+06      493.75      480.94  2.1619E-07  4.2299E-11     0.52739      180.69      7.4626     -18.227      180.69      7.4497     -18.226  9.6265E+05      317.33
2024  05  09  01  04   0.000     -112.94     -80.120      481.36      1079.3      4.5959     -30.121     -2.8580  0.00036029     0.98267    0.016971  3.5428E-06   0.0032474      0.0000  3.1919E+05      2269.4      1371.3      22.539      1.2992  3.0315E+05     -2621.5     -42.678      53.894      4.4654  1.3459E-12      5318.1      321.58  8.8386E+05      494.24      481.36  1.7364E-07  3.1603E-11     0.40369      181.18      9.9902     -12.409      181.18      9.9820     -12.411  8.7272E+05      308.17
